text,label
habis pikir piutang emis emis bikin alas piutang 50 juta bayar piutang bank sih gitu pinjam iya hasil jual tanah beri bagi kakak dia tanah sepi gaji telat simpan tagih 300 500 ribu emis lumayan aga 1 jam 10 juta beli motor kasih tuhan gaji umr karyawan beda buruh kadang kadang uda sungkan bikin alas rantau kirim sakit sakit sulung tempat 5 motor pinjam motor pas mogok tunggu jauh sana cewek bayang perempuan motor malam manusia normal piutang tawar situ berani kaya olah piutang kasihan emis pinjam tanah jual 4 juta sisa 50 juta bawa tau piutang tau neger kakak sana mumpung izin,0
tangga 4 alhamdulillah repot berani pinjam mertua notabene mertua anti banget cerita susah orang tua dia keras gaji butuh hari plus cicil tanah bangun penuh susu formula butuh gizi serba mandiri atur uang tatih tatih kadang kadang tidak pernah berisik omong gin maaf nih tidak mau modal cuman batas syukur tabung pelan wujud wujud sedih sih gitu mertua pikir duit lancar deres pusing pikir gaji umr biar sunat biar anggar biar hajat hajat kondisi uang pas pas kejar tidak pernah enteng banget omong wajar si kesal,0
malam tangis gin usaha alhamdulillah jalan lancar bulan gaji sewa uda 2 digit tinggal d usaha tugas bagi kerja beres cuci tugas urus setrika cuci piring tugas masak tuntu makan sedia beli sayur masak gantung singkat cerita kadang cuci baju beres sindir kali kali omong enak bos main handphone tidur beres pagi malam cuci pakai mesin malam beres sapu l cuci baju d mesin jajan d rekening 3 juta hasil jual en pas d bareng lelah bicara sindir ajak bicara urus urus biar da sindir tugas cari nafkah omong harga omong d cuek omong islam tugas ayan d kasur tega kadang bicara dikit d cuek bayar cicil mobil lumayan en banget d nafkah makan tulis tangis d peduli lelah x en teriak kencang kencang astagfirullah,1
sobat facebook sih hamil manja rewel,0
grup sepi curhat anonim,0
solusi bunda enak banget kerja marah irt d d bilang uncang kaki aj urus 2 urus masak d bilang uncang kaki pegang d bilang sombong makan hari pakai duit aj ni gada syukur mala diam uda 3 bodoh sesal kaya,0
cerita laki laki perempuan pisah laki laki pikir nafkah alas rela makan duit perempuan pikir si laki kuat nafkah si lantar,1
pacar 5 usia nikah 6 11 sakit banget pulang rs saat cape letih lesu abis gadang jaga rawat rs cewek omong sadap wa ldr cewek tau gatal cewek jadi gatal cewek judol minum obat larang mabuk tampar biar sadar,0
olahraga bikin badan langsing biar jaga,0
assalamualaikum kabar kabar sehat handphone daring daring perempuan facebook asa sini pudar rumah doa beliau jalan 5 nama murah,0
teman cemburu emang si perempuan banget si perempuan kakak suka kek lebar tau banget istilah kadang ajak main tawa cekikik tawa tawa pas canda suka tawa tidak ada suka nyari topik berani nyamuk badan,1
hidup kontrak 6 cita ad biaya didik semangat tabung gaji capai kumpul beli tanah tuju kandang lembu sapi milik tetangga pelihara lembu bilang beli tanah situ kekeh beli tanah bangun tanah bayang kn jarak 2 m teras kandang lembu tetangga tahan bau betah rumah keluh cuek kadang marah buat tinggal lingkung bersih nyaman tetangga lembu kadang ikhlas jalan bilang syukur mohon kritik bunda,1
q keduduk mata laki laki islam bahagia,0
curhat motor cerita jual barang bekas facebook beli malam jam 9 rumah coba takut pagi takut singkat cerita pinjam motor pasang bilang barang bilang pakai motor mati kaya marah dak aksa pakai motor situ emosi pikir ko motor pasang marah pinjam motor alas masuk akal alas rusak hidup ban bocor masuk akal mah motor besok pakai marah bilang pulang tua besok tua beres pilang motor sepele gitu ya sadar situ salah posisi marah ya salah motor sadar,0
kadang sesak banget mati mati bela keluarga rana campur keluarga pulang saat butuh keluarga akan tutup mata urus kadang tanggung hadap keluarga keluarga terima kasih,0
kah saran tengkar pasang hilang bank beli tanah 20 juta tanah cocok pegang pakai butuh desak simpan singkat cerita pikir pakai beli tanah pakai buku bukti pakai singkat cerita pakai heran hilang mana situ cerita pasang hilang kejut 2 pakai pakai bilang jujur buka merut ya percaya kayak curiga pakai nih,0
bingung 2 umur 21 ekonomi pas stabil keluarga suka bodoh kek peduli sakit banget hati salah gg tunda sedih banget perempuan salah rezeki takut dosa,0
bunda bohong khianat lantas percaya,0
halo curhat cerita alam rumah tangga 4 sesal banget nikah wanita sukses mobil motor duit nikah anggur tau keluarga teman pelet kali ubah banget pas nikah ubah kek nyari salah suka pas lahir libur 40 caesar tahun bareng jual buka usaha bangkrut konveksi gaji renti gaji 2 5 sesal pelit hitung belanja bulan beras kek sayur bulan pegang en belanja ikan minggu 100 beli ikan sayur telor beli masuk bulan pas duit belanja bilang duit dll kontan pakai duit hitung habis belanja makan makan beli baju beli bank mekar duit belanja duit bulan gaji kek gitu cerai cerita keluarga keluarga suka alas suruh cerai emang tau malu banget diam langsung gugat adil capek hati pikir kurus tolong semangat sakit pura tau leher sakit susah lihat kiri kanan besok obat moga putus baik maaf panjang keluh pikir,2
serius lahir kemarin kontraksi mertua takut lahir pasar wage wage gitu sih dua pasar wage tiga wage wage rabu wage selasa wage,0
cerai nafkah mau cerita titik capek 8 5 kelola gaji 5 candu judol parah 1 sih gajih habis hitung menit tang bikin komitmen gaji kelola biar tabung kaya kelola butuh cukup minus tambah 2 bilang bijak suruh henti main main bodoh ingkar janji malam kemarin gaji 4 juta pegang transfer 500 ribu alhasil transfer suruh cari salah kah kaya gin pikir 10 depan kaya gin tingkah kakak 2 sekolah,1
alami pacar beda agama nyaman cinta beda agama pisah jalan baik komunikasi lancar hati bikin candu on sedih galau blokir jahat banget sayang dukung ketemu jodoh iman ikhlas,0
salah ngg tinggal ngg nafkah sih,1
teman si betah dalem timbang suka nimbrung,0
bingung ni kena pelit tulus sayang mantan upa,0
masuk tikus 3 x masuk tikus bikin ngapa tolong cari biar ketemu sembunyi cari pusing banget marah biar masuk,0
bunda umur 7 suruh inap sakit otomatis rencana inap neng bunda tau sakit dengar suara berisik ganggu normal bentak bentak heran banget sakit kuat banget sakit hati ajak pulang inap salah bunda sisi harap bakti bantu urus sakit sisi neng,1
halo cerita tangga tahan diam laku sumpah tahan kayak kayak bantu rumah urus butuh bangun tidur tidur omong cerita sakit fokus handphone cape tangga 5 kayak gin 2 da ubah,1
lahir normal minggu paksa aktivitas berat usia 3 urus 2 biasa kejar balita gendong andal rumah resiko jahit angkat berat gendong hari aktivitas henti,0
minimal embuh luka baik,0
tengkar orang tua dia saudara dia capek gin,1
menantu diam mertua perempuan tetangga salah jalan ldr pulang bulan 4 rumah libur ajak jalan mertua suka ajak jalan suruh diam rumah bosan rumah rumah,0
salah si marah diam pinjam bilang ancam piutang biar butuh pikir,0
keluh min gin tu kesel saudara tu perempuan 14 kali makan liat beli rumah kn g enak masak beli pn kadang pas n makan kn g enak makan lauh ap masak ap beli si makan mama g masak pn bilang mama jarang masak g ikhlas kadang pas n kadang rela g makan bagi pikir rezeki makan hak rezeki kn ajar adab,0
lelah salah,0
10 nikah adik ipar renovasi beli pas liat murah cuman juta luas gede dikit bagus liat wajah kayak napas rada rada tau pikir sesal omong gitu si tipe untut kemarin jelek bocor debu tikus ular tuntu cepat pindah pindah 1 usaha bangun mangkanya pindah pikir pikir biaya suami lembur 4 bayar tukang habis pikir pikir biar rada rada rada rada kadang kasi liat liat banyak tuntu kemarin parah layak mangkanya tuntu alhamdulillah bantu biaya emang rezeki bikin susah maju satu uang fokus jajan suka jajan minum botol gitu warung pancing coba fokus kumpul duit r 2 kadang jengkel kadang kasi si biar fokus keluarga kekang ribut kekang doa fokus hidup liat kayak bingung kayak hilang,0
putus bulan tahan sikap egois ego ad en hidup ucap tuntu peduli sakit contoh rumah sakit tidur istirahat asa nafkah mau kadang 300 rbu bulan kadang 10 rbu hari sabar terima saat suruh nyari laki pisah terima putus banget en hidup selang talak status ka duda en emang ldr bulan nafkah kasih ajak rujuk laku gampang main nikah x olak aja rujuk duli npd orang tua dia ikut pohon cerai sayang banget hidup asa tidur tidur 2 tahun oktober suruh kampung takut ubah pikir maaf kampung takut bujuk laku obat,1
maaf curhat simpan saudara simpan raya kumpul 13 juta takut ambil tumpang rumah mertua takut piutang mertua saudara takut pelit takut omong saudara sesal ikut takut ember mertua ikut tabung entar duit tabung doang,0
maaf pakai gendong umur,0
admin tolong lolos om tante serius jujur cerita coba ungkap pelan mudah erti bahas cerita pribadi suai nyata pria usia keluarga milik hasil mandiri bantu saudara tua dapat nol sadar laki diri pimpin kepala keluarga pria oke tampan putih bersih badan ideal milik gaya hidup sehat pola makan sehat hati hobi olahraga 4 pacar 2 kuliah 1 dokter 1 kelas 3 mohon setia pacar prinsip pacar matang alam ilai sifat cewek muda setia pilih habis keluarga pacar usia 30 tinggal apartemen jakarta selatan sewa tahun juta harta milik 1 unit mobil keluar 2024 unit motor keluar bangun 3 lantai tanah meter segi daerah malang jawa timur sengaja pilih daerah sejuk elan biaya 7 tahap sengaja desain utama kenyam tenang keluarga 4 pacar pacar usia 2 minggu pilih jadi calon si cewek keluarga sederhana pacar 11 bangun cerita manajemen uang pegang utuh jatah masak 6 juta beras gas sabun dll masak tambah suai butuh masak bulan 5 juta 5 juta serah tabung sila sila bebas 5 juta wajib simpan siap masuk guru diam tabung mandiri rahasia jatah mertua minimal 1 5 juta gantung butuh wajib butuh belikan tinggal tamu wajib hijab cantik mole rawat jaga bidadari tinggal harta milik puluh persen butuh tugas urus tangga urus masak urus ibadah larang media sosial ig facebook dll larang main handphone jam jam olahraga buat ruang pribadi suka cewek lemak larang kumpul 2 bareng teman dia damping larang keras benci cewek suka gunjing cerai harta hidup tenang damai habis bahagia keluarga sehat awet muda kerja 2 art acara nikah sederhana sah agama sah hukum anggar siap nikah alokasi panti asuh sumbang fakir miskin n mertua motor belikan motor sapi 1 ekor tambah ekor rencana amar cewek andai om tante tua cewek izin cewek orang tua dia sah,2
assalamualaikum izin curhat bunda kontrak ekonomi uji banget 2 uji berat banget jual sayur lancar habis modal syur 50 ribu hari hari kadang pinjam hari bank 500 ribu biaya hari hari 25 ribu pusing 4 balita kembar umur 3 habis besok bayar kontra milik pusing kemarin beli susu pinjam 200 pinjam malu hidup pas pas batu kali uji ekonomi rantau irt bekas kasi tega tinggal sumpah bingung banget jual motor motor butut susah cocok uji kembar tangis jajan sumpah tega banget liat jajan tua maaf curhat halo,0
permisi maaf sensitif tau normal kali minggu hubung badan umur laki umur 35 bawah rajin seks minggu 4 5 x injak umur beda minggu 1 2 x umur masuk urun nafsu laki khawatir jarang gaul emang urun nafsu umur salur nafsu mohon bantu,0
19 20 lamar laki suka cinta lurah jujur ajak nikah lurah sisi putus sisi sembuh hubung target nikah umur 25 terus terima lamar bahagia terima lurah chat chat,0
mental emis y kasih tidak apa apa emang q emak u nafkah butuh u,1
cerita bela pihak bilang semenjak hamil sensitif omong sakit langsung masuk hati,0
curhat judol perempuan hany cuek egois tinggal mertua curhat langsung bicara marah posisi rantau beda kota tahan,0
malam ni dosa nafkah 3 minggu kasih nafkah tanggal rumah jatuh talak 1 hubung mohon,1
redam kesal omong cair bukti lihat riwayat pilih marah serah rumah tangga piutang jatuh tempo lunas 13 juta serah rumah tangga,0
syarat masuk tk wajib sertifikat paud kb sekolah paud tk tolak masuk tk bilang daerah masuk tk syarat sertifikat paud kb bilang syarat pakai sertifikat paud masuk tk masuk tk minimal baca tulis mohon barangkali tau bingung rencana pakai paud langsung tk les in masuk tk biar baca tulis minimal tau huruf mohon syarat masuk tk wajib sertifikat paud kb kelompok main,0
sepele sombong iya sen paket kurir kirim rumah main rumah mertua buka paket beli jaket 30 ribu adik perempuan bilang gin model kaya gua lu mah murah gua mah mahal depan belakang,0
tinggi manja tabur hias bantu kerja tinggi teman sakit antar obat layan tidak daya n henti kerja ajak obat ayan sakit cinta sayang abdi sehat,0
kuat laku kakak laki laki bunda siksa usir hak rumah,0
bagi cerita janda 1 pisah 5 pisah untut nafkah g nafkah persen cerai minggu ekonomi anjlok fase hari keras jual sekolah sakit sakit habis asu hubung mantan belikan sepatu emang muat kasihan kaki sakit belikan teman malam in negatif posisi it laki emang mantan,1
cerita en donat bilang boros kn makan donat tahun kalih,1
tangga n siaga kadang sempurna jalan ikhlas syukur n,0
adik kendara kendara pinjam pakai motor butuh sepeda,0
kadang sepi 2 en teman obrol kadang pikir en pacar dah nikah paksa nikah ama perkosa status janda 1 umur 35 bilang nikah mantan kabur atm handphone nikah ma alamat tau bilang cari or kabur amuk 2 k mama paksa nikah mama bilang alamat tau mama paksa nikah cinta jelek mama bilang tau mu miskin nafkah si 2 bilang ganti laki pacar 2 x ldr 1 x 1 pas mas 19 1 ldr ganti laki nikah bilang nikah perempuan kadang en si pacar pikir nikah gengsi harga bahagia suka ama laki sepi laki pacar nikah baca grup sedih nikah 2 luar nikah si hukum mama nikah si en cerai kadang nikah,2
sakit teman rs k g d tinggal atm pasien d jenguk kunjung banget hati,0
tumpang curhat mak capek banget mak rumah tangga laki cari libur hari main kadang buang sampah suruh asa hidup air banget inisiatif mak lubang tikus mana pas libur tutup inisiatif biar lubang tutup mak kamar rusak inisiatif mak bilang marah kesel kali sumpah neng libur mak mending seru main duit pas asa duit beli,1
sedih banget hati maju adik jual maju puruk omset jual ramai juta pamer bangga omset jatuh,0
dapat salah juli dapat nyata si mbah luar nikah islam luar nikah nasab biologis hak waris 2 kali tinggal wali biologis sedih campur aduk hilang percaya 35 tau kl nikah sah jujur terima takdir nikah ulang tau nyata memori muncul erti pilih adik adik usaha caci maki sial bawa rezeki takut sembunyi pojok kandang ayam rangkul kaki batu luka luka maki nilai jelek air sumur bak mandi laku bilang trauma hilang percaya kali kumpul asing sadar hadir doa tua salah tua salah pilih jaga jarak tua,2
maaf bunda ndak salah komplain si 200 minggu maksud syukur bunda bingung atur 3 sekolah bumbu dapur habis,0
saat hamil peduli sedih banget y tuhan hamil 2,0
siang bunda bunda ni maaf si maaf salah nafkah batin nafkah lahir tanggal rumah marah komunikasi,1
dosa tahan gga pulang ancam ekonomi mantan pilih banding mantan tidur cuci bebenah mertua mertua suka tuntu kontra tampil dll mati mati salah setia salah,0
bunda curhat pagi hasil jual perawatan kulit lihat terima sinis gitu tuduh beli kendara,0
aman nomor rekening jual facebook minat wa kirim rekening tipu untung pikir kh aman nomor rekening nomor rekening,0
habis hilang motor kredit lapor polisi urus asuransi tinggal tunggu kabar 3 minggu 1 lihat tagih motor aktif suruh tunggu,0
pengaruh cemas ganggu hidup tampil media sosial ilusi cipta dll media sosial fatamorgana kagum hidup post media sengsara depresi sepi sedih bingung hubung racun milik hidup nyata ikut gelap predator putus asa manfaat fokus hidup usaha aspek hidup anggap dunia saing penuh tuju hidup kecuali aku,2
suka wanita komunikasi selisih usia lumayan,0
cerai cerai urus suruh urus surat cerai kartu kakak ktp domisili alamat kampung alhasil lumayan kampung posisi rantau urus surat cerai tempat angan kakak ktp,1
tahan gga pulang ancam ekonomi,0
maaf curhat 9 rantau minggu kabar nikah sirih tanya emang nikah sirih status ktp status daftar hukum catat sipil,0
curhat minggu adik saya alami celaka untun sd bawa motor bonceng adik dia pinggir mobil parkir jalan jalan adik saya kaki si bonceng 5 belakang adik saya 2 motor kagok adik saya sedia sana keluarga 100 ribu si adik adik saya suruh sana ganti rugi kaki patah ancam bawa polisi adik saya emang salah bawa motor celaka untun adik saya sa kasi bawa polisi adik saya tahan,2
anggur tahun serabutan banyak anggur tinggal dukung kasi modal jual mobil usaha bentar daya beli lemah 3 x bantu cari info beda lamar suruh pas drama tabung pas gadis habis modal jual biaya hamil lahir kasi kemarin suruh lamar ekspedisi pakai marah pakai celana situ benci titik jenuh maaf,2
biar mati sayang cape komunikasi kali ajak obrol keluh kesah diam kaya omong ama tembok tahan sayang sayang,2
kayak lihat cewek seksi lihat cewek goyang pakai dalem tuhan sakit hati cemburu wajar asa rasa malas ribut debat tau salah laku pikir pikir tau sakit asa bodoh penting,1
ipar sahabat doa aneh aneh tuhan sakit cepat ipar pecat pakal kandung gugur doa aneh aneh kaya dosa hati sakit,2
pelan ajar aksa,0
cuman d e laki it hati royal pas cuman aj habis it cuek g,0
muak saudara ajak iur wifi diam handphone pas liat sambung wifi blokir alamat ip tulis liat tutor tulis bingung blokir pelit pakai wifi bayar gratis enak nebeng omong,0
curhat tumpang mertua banget ipar sebe ipar suka belanja jajan tukang baju ipar baju tetangga pilih baju perempuan laki ipar si i ipar bilang beli jajan baju suruh bayar cerita tetangga mah biar kali jujur banget main r suka suka tangis masuk hadap kaya iya banget pelit hitung suka cerita tetangga suka beli mertua baju lebaran biar puji ipar kaya gin sih,0
mertua suka paksa,0
kurang pandang ranah maklum ranah upaya baik,0
rasa mana pasang 3 gigi moga sakit banget,0
kode mas muda 90 ad sih jual,0
bunda kena sakit ca cerita k bunda dah d cerita k,0
lago risi nga anggap tegur marah,0
makan 2 balita hari jual tabung cicil piutang riba rentenir bekas lahir selesai jual sepi 3 jual handphone sentuh moga hamba tuhan ketuk kenan makan tuhan genggam nyawa usaha lepas baik,0
halo bunda curhat biar keluh hati cerita kemarin pinjam tetangga pas bocor pas bocor lubang b banget sebel banget wajar si kesel banget banget tetangga,0
kadang cinta banget ama laki alias ampe kesel banget ampe pen omal lagi omong mak gitu mak,0
tinggal celaka kakak nikah siri silsilah duda pny dah proses cerai pulang kasi kalah aj kakak nurut aj p s songong iya keluarga aneh aj kasih uji kayak gin dah capek timbul it pusing kayak gin susah banget,2
tuhan gin cape pikir terus gin sd kenang indah suka d bilang suka bilang teman suka bilang suka huruf p huruf i mah kelas g ad putri main bareng bareng seru banget deh pas smp pas renang kolam renang pas acara renang tu selang suka main kelas suka emang bias si suka es gambar kocak ya sudah laki pilih pas nikah si mimpi tau tau bayang coba nikah nikah 8 kadang g sengaja ketemu tatap tatap pas d jalan 2 3 bingung gin mah pikir positif mimpi,0
solusi bunda biar hasil,0
curiga barusan tunggu perempuan tang bari senyum,0
laki proses negara d izin kaya pas berangkat izin surat kuasa,0
masak pikir takut da jajan masak minyak goreng ma garam abis masak abis da jajan,0
manusia dermawan rasulullah manusia dermawan laki beliau beliau beri beliau olak wajah senyum senang beliau beli nama beliau beliau bayar piutang akhlak rasulullah nabi muhammad tiru suri rasul banyak emis tutup kunci caci maki akhlak ikut kah binasa tuhan serta aun jadi harta kuasa alat moga aun amin,0
miris banget kata kasar buruk langsung marah nasihat pikir buruk sengaja udut malu bilang suara kencang tetangga dengar bilang sesak banget salah pilih terima kurang jalan lewat hidup mudah jalan usia nikah 15 tingkah bikin hati sakit kadang sesal banget ulang sabar sabar tahan butuh figur sempurna baca curhat do a sabar hadap perilaku sikap jelek sungguh sakit hati kala korban rela hadap keluarga dapat tebus,1
tahu paksa beli emas gaya tabung butuh cepat pepet emas tolong tuju,0
pagi tuhan rencana hidup depan steril g lahir caesar 3 kali sempit panggul hamil 4 tau tau 3 jujur panik banget lahir caesar 4 x masuk sekolah kelas 5 jalan hadap besar keras hikmah doa kn y umur sehat biar diri kaki,0
tangga q z z cocok curhat q makan paham hati q makan wadal q,0
assalamualaikum sakit panas tidur bangun teriak bilang teriak rasuk genggam kuat banget habis lihat empat rumah malam,0
panas 2 kasi pns turun rs uda obat rs mas pns turun 2 x obat rs rs ret inap ya tangis takut infus sih paksa,0
salah en kasih kabar,0
agenda sidang gugat simpul putus gugat hadir,0
subuh d bikin jengkel banget ama sabar wajar marah kesal jam gin 03 13 pulang rumah tuhan puas banget hadap omong diam aj mohon solusi baik,0
sakit hati sih d kakak kandung d beban keluarga problem hidup hadap d bilang beban makan makan tidak pernah k temu jajan tidak pernah piutang tidak pernah bayar beban dosa sih jauh keluarga mana tidak mau jumpa ama saudara sakit hati banget pen hidup layak sukses d luar,1
ci egois menang sendiri,0
mertua menantu privasi beliau omong olah jarang kerja sapu l sapu halaman cuci piring masak kerja berani buka pakai barang izin wajar boros belanja bahan makan tepung minyak mertua tipe pagi malam olah makan kasar beliau nih bikin minyak beli habis usaha pikir positif ko kaya jengkel,1
salah pergi saat ubah baik pergi pamit 3 butuh saran kawan haru ap larang jumpa butuh tanggung benci sakit batin hati situ sumpah kubur,0
tumpang curhat izin cewek umur 28 pacar duda jabat pns biar mati on putus jujur suka bohong janji nikah omong kosong duda status cuman pisah 10 gilir bukti cerai alas cerai status lupa biar lupa,2
pny telpon obrol posisi ldr egois sifat kasar k j jajan d minggu 500 ribu jajan nafkah pikir pny kayak pny sedih kadang tangis malam hidup janda,1
sakit bunda tangga,0
bunda izin curhat tau aib bunda teman bunda nasihat mertua candu bank nikah 4 nikah bank 5 cowok anggur nikah bujang rantau kakak 1 bareng toko ambil bank usia tua bank 5 nama beda pinjam nama ambil bank modal cuman pas cek 4 x nama pakai mertua ambil bank ambil bank hari minggu bulan 2 x 1 1 x kaya ambil bank tutup bank kampung suka tegur piutang tolong bayar bayar runding tombok kakak 8 juta bank 1 bikin janji ambil ambil 4 tombok al hasil kakak ipar marah tegur marah bahas mana ungkit bingung bunda jual goreng subuh tua kadang jual kadang sakit kemarin musibah peleset bocor jahit 5 setor bank pinjam bunda ambil bank tinggal tunggu jajan sayur butuh dapur cuman kecewa setor kadang sayur beras langsung maaf bunda curhat bingung omong mantu takut singgung,2
sih penuh irt tanggap penuh irt rasa beban banget sekal malam tidur ajak obrol fokus handphone tegur pegang handphone hari cape en banget hasil biar plus butuh hamil usaha usaha saran,0
kesel sih adik ipar pakai span tegur biar pakai span y aj kayak sengaja banget,0
salah enak pulang bawa roti bakar beli kasih perempuan makan suruh buang makan lepas makan marah sakit kepala makan mesti marah sakit kepala si marah maaf mohon bilang guna cuman beban hidup bilang gitu,0
bunda sih kaya 2 rintis banget tinggal rantau motor motor kasi hari kemarin gin kerja resign nyari kerja tua curhat si ojek biar dapat bulan hari motor kasi motor tua tidak bisa ojek tabung tahan kerja curhat mertua vc mertua renovasi omong abis ganti pintu abis 2 juta dengar kaya sedih nelangsa susah gada ulur tang menantu harap beliau lihat menantu susah rencana renovasi pilih ulur tang suka kasi nikah bekal posisi banget pepet banget berani in pinjam mertua kadang kasi kadang ngga lebaran kemarin pulang kampung pas berangkat rantau bawa jajan kerupuk khas mertua tawar tidak enak ya sudah bawa pulang rantau sedih sedih marah kaya sedih gitu cerita mama sedih mama senin suka shopee biar pikir jajan,0
